ID,COMUNE,TITOLO,FONTE,URL,MOTIVO_SCARTO
8c2bf7566b731a977793,Almese,161 immobili in vendita a Almese - Trovit,Trovit,https://case.trovit.it/almese,EVIDENZA_INSUFFICIENTE
1f6a089f092103b77b70,Almese,Case e appartamenti a Almese. Immobili in vendita a Almese - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/almese,EVIDENZA_INSUFFICIENTE
2bcdb0fc06c342a547fe,Almese,476 Immobili in vendita a Almese - Mitula Case,Mercato generale,https://immobiliare.mitula.it/almese,EVIDENZA_INSUFFICIENTE
9bd098c51c8133127d2c,Alpignano,26.535 immobili in vendita a Alpignano - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/alpignano,EVIDENZA_INSUFFICIENTE
b1401933cac7e2c369de,Avigliana,"7 immobili in vendita a Villaggio Primavera, Avigliana - Trovit",Trovit,https://case.trovit.it/avigliana-villaggio-primavera,EVIDENZA_INSUFFICIENTE
26cf0943b957c20d714b,Bardonecchia,Bardonecchia - Vendita case Piemonte - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/?q=bardonecchia,PAGINA_CATEGORIA
0e12d064bae5d860bc52,Borgone Susa,Case e appartamenti a Borgone Susa. Immobili in vendita a ... - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/borgone-susa,EVIDENZA_INSUFFICIENTE
47135bc91bf7c508eab1,Borgone Susa,Instagram,Mercato generale,https://www.instagram.com/p/DZKRZL7jUzy/,EVIDENZA_INSUFFICIENTE
e099c779e47a7c196687,Bruzolo,Case in vendita Bruzolo - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/bruzolo/,PAGINA_CATEGORIA
19c9ef1d5bdcb15f3a4f,Bussoleno,3.510 immobili in vendita a Bussoleno - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/bussoleno,EVIDENZA_INSUFFICIENTE
10698c969fa8042304d9,Bussoleno,Case in vendita Bussoleno - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/bussoleno/,PAGINA_CATEGORIA
5d924ed7c79b8294bb53,Buttigliera Alta,"19 immobili in vendita a Le Fronde, Buttigliera Alta - Trovit",Trovit,https://case.trovit.it/fronde,EVIDENZA_INSUFFICIENTE
192f1494fe8063fb7926,Buttigliera Alta,Case in vendita Buttigliera Alta - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/buttigliera-alta/,PAGINA_CATEGORIA
0a1a6405fa7461e888f5,Buttigliera Alta,24.555 immobili in vendita a Ferriera Buttigliera Alta,Nestoria,https://www.nestoria.it/immobiliare/vendita/ferriera_buttigliera-alta,EVIDENZA_INSUFFICIENTE
f0b63c6b7d702cf5af2f,Buttigliera Alta,"Prisma Immobili | case in vendita | Buttigliera Alta, Metropolitan City ...",Mercato generale,https://www.prismaimmobili.it/,EVIDENZA_INSUFFICIENTE
759393e92676dd05461a,Buttigliera Alta,L'osservatorio del mercato immobiliare a Buttigliera Alta.,Mercato generale,https://www.mercato-immobiliare.info/piemonte/torino/buttigliera-alta.html,EVIDENZA_INSUFFICIENTE
6ab96465c7547b817e67,Caprie,61 immobili in vendita a Caprie - Trovit,Trovit,https://case.trovit.it/caprie,EVIDENZA_INSUFFICIENTE
c12a87e042743f06ae75,Caprie,Case in vendita Caprie - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/caprie/,PAGINA_CATEGORIA
371b712dd76612136457,Caselette,41 Rustici in vendita a Caselette - Mitula Case,Mercato generale,https://immobiliare.mitula.it/rustico-caselette,EVIDENZA_INSUFFICIENTE
40faefc3a05b5aff18ff,Caselette,Case in vendita Caselette - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/caselette/,PAGINA_CATEGORIA
a1ea668f112be24ab116,Chianocco,Case a Chianocco. Ville in vendita a Chianocco - Nestoria,Nestoria,https://www.nestoria.it/case/vendita/chianocco,EVIDENZA_INSUFFICIENTE
d364c8e882bb12849ed6,Chianocco,Case in vendita Chianocco - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/chianocco/,PAGINA_CATEGORIA
6c14180f0dc09ba30a71,Chiusa di San Michele,Case e appartamenti a Chiusa di San Michele. Immobili in vendita a ...,Nestoria,https://www.nestoria.it/immobiliare/vendita/chiusa-di-san-michele,EVIDENZA_INSUFFICIENTE
51b94506b0079e4b2d9c,Chiusa di San Michele,58 immobili in vendita a Chiusa di San Michele - Trovit,Trovit,https://case.trovit.it/chiusa-san-michele,EVIDENZA_INSUFFICIENTE
81f71c98d2297e125f38,Chiusa di San Michele,Case in vendita Chiusa di San Michele - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/chiusa-di-san-michele/,PAGINA_CATEGORIA
0539cd5cdf49fef7b4ec,Chiusa di San Michele,Appartamento in vendita a Chiusa di San Michele (Torino) - rif. Chiusa 2,Mercato generale,https://www.denhouseimmobiliare.it/web/immobile_dettaglio.asp?cod_annuncio=371446&language=ita,EVIDENZA_INSUFFICIENTE
5f5f9e6cc112357bba42,Chiusa di San Michele,Cascina/Casale in vendita a Chiusa di San Michele Cod. 34221003-1955,Mercato generale,https://www.fcimmobiliare.it/i-671934-vendita-cascinacasale-chiusa-di-san-michele/,EVIDENZA_INSUFFICIENTE
5fc55514401c879f86c1,Coazze,66 immobili villa in vendita a Coazze - Trovit,Trovit,https://case.trovit.it/villa-coazze,EVIDENZA_INSUFFICIENTE
7af666f251eb1ae977a9,Coazze,Case in vendita Coazze - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/coazze/,PAGINA_CATEGORIA
9b93ebd08af5840b06a9,Coazze,"30 immobili in vendita a Forno, Coazze - Trovit",Trovit,https://case.trovit.it/forno-coazze,EVIDENZA_INSUFFICIENTE
6d0da11f6f37738e7b11,Collegno,25 Immobili in vendita gramsci a Collegno - Mitula Case,Mercato generale,https://immobiliare.mitula.it/gramsci-collegno,EVIDENZA_INSUFFICIENTE
